Date,VehicleClean,TripType,gpsDate,startFuel_L,endFuel_L,usedFuel_L,driveHrs,idleHrs,passedUbungo,passedPort,passedVikindu,sensorStale,note
2026-09-17,T317ELP,Ubungo→Port (Stock),2026-09-17,121.09,219.34,-98.25,1.76,1.26,NO,NO,NO,false,
2026-09-23,T895ERP,Ubungo→Port (Stock),2026-09-23,151.44,208.46,-57.02,7.56,2.89,NO,NO,NO,false,
2026-09-22,T468EMV,Port↔Vikindu,,,,,,,,,,,NO FUEL DATA (GPS offline or sensor dead)
2026-09-22,T894ERP,Port↔Vikindu,,,,,,,,,,,NOT IN GPS SYSTEM
2026-09-22,T662EJM,Port↔Vikindu,,,,,,,,,,,NO FUEL DATA (GPS offline or sensor dead)
2026-09-22,T621EMB,Port↔Vikindu,2026-09-22,171.62,175.03,-3.41,9.75,3.65,NO,NO,NO,false,
2026-09-22,T889ERP,Port↔Vikindu,,,,,,,,,,,NOT IN GPS SYSTEM
2026-09-22,T624EMB,Port↔Vikindu,2026-09-22,195.72,250.17,-54.45,8.29,4.21,NO,NO,NO,false,
2026-09-23,T889ERP,Ubungo→Port (Stock),,,,,,,,,,,NOT IN GPS SYSTEM
2026-09-23,T892ERP,Port↔Vikindu,,,,,,,,,,,NOT IN GPS SYSTEM
2026-09-23,T890ERP,Ubungo→Port (Stock),2026-09-23,45.08,46.38,-1.3,5.42,2.88,NO,NO,NO,false,
2026-09-22,T318ELP,Port↔Vikindu,2026-09-22,320.7,592.43,-271.73,9.47,3.75,NO,NO,NO,false,
2026-09-22,T890ERP,Port↔Vikindu,2026-09-22,,,,9.06,6.52,NO,NO,NO,true,STALE SENSOR
2026-09-23,T662EJM,Ubungo→Port (Stock),,,,,,,,,,,NO FUEL DATA (GPS offline or sensor dead)
2026-09-18,T769EMX,Port↔Vikindu,2026-09-18,132.73,186.79,-54.06,8.72,3.52,NO,YES,NO,false,
2026-09-20,T889ERP,Port↔Vikindu,,,,,,,,,,,NOT IN GPS SYSTEM
2026-09-18,T889ERP,Port↔Vikindu,,,,,,,,,,,NOT IN GPS SYSTEM
2026-09-20,T624EMB,Port↔Vikindu,2026-09-20,120.79,114.99,5.8,0.13,0.29,NO,NO,NO,false,
2026-09-18,T624EMB,Port↔Vikindu,2026-09-18,172.62,225.73,-53.11,6.07,4.29,YES,NO,NO,false,
2026-09-22,T892ERP,Port↔Vikindu,,,,,,,,,,,NOT IN GPS SYSTEM
2026-09-20,T892ERP,Port↔Vikindu,,,,,,,,,,,NOT IN GPS SYSTEM
2026-09-18,T892ERP,Port↔Vikindu,,,,,,,,,,,NOT IN GPS SYSTEM
2026-09-22,T314ELP,Port↔Vikindu,2026-09-22,303.63,302.01,1.62,9.6,7.95,NO,NO,NO,false,
2026-09-22,T895ERP,Port↔Vikindu,2026-09-22,43.99,151.48,-107.49,8.49,4.96,NO,NO,NO,false,
2026-09-22,T894ERP,Ubungo→Port (Stock),,,,,,,,,,,NOT IN GPS SYSTEM
2026-09-20,T890ERP,Port↔Vikindu,2026-09-20,,,,4.07,1.47,NO,NO,NO,true,STALE SENSOR
2026-09-18,T890ERP,Port↔Vikindu,2026-09-18,46.97,46.07,0.9,7.91,3.97,NO,YES,NO,false,
